iter	Passed	Remaining
0	141	141678
1	143	71546
2	145	48364
3	147	36643
4	148	29612
5	150	24958
6	152	21629
7	153	19087
8	155	17121
9	157	15555
10	158	14269
11	160	13188
12	161	12263
13	163	11488
14	165	10848
15	166	10253
16	168	9726
17	169	9262
18	171	8844
19	172	8460
20	173	8111
21	175	7797
22	176	7514
23	179	7279
24	180	7046
25	182	6826
26	183	6616
27	184	6421
28	186	6238
29	187	6066
30	188	5905
31	190	5753
32	191	5613
33	193	5493
34	195	5382
35	197	5279
36	198	5171
37	200	5065
38	201	4962
39	202	4864
40	203	4770
41	205	4682
42	206	4602
43	208	4531
44	210	4462
45	211	4388
46	212	4316
47	214	4248
48	215	4182
49	216	4118
50	218	4057
51	219	3999
52	220	3943
53	222	3889
54	223	3847
55	225	3798
56	226	3749
57	227	3701
58	229	3656
59	230	3610
60	231	3567
61	233	3526
62	234	3487
63	235	3448
64	237	3411
65	239	3383
66	240	3348
67	241	3313
68	243	3279
69	244	3245
70	245	3212
71	246	3182
72	248	3152
73	249	3122
74	250	3093
75	252	3068
76	254	3047
77	255	3021
78	256	2994
79	258	2968
80	259	2942
81	260	2920
82	261	2890
83	262	2866
84	264	2844
85	265	2821
86	266	2800
87	268	2784
88	270	2766
89	271	2747
90	273	2728
91	274	2710
92	276	2691
93	277	2673
94	278	2654
95	279	2636
96	281	2617
97	282	2603
98	284	2588
99	285	2571
100	287	2554
101	288	2537
102	289	2522
103	290	2506
104	292	2490
105	293	2475
106	294	2460
107	296	2444
108	297	2435
109	299	2422
110	300	2408
111	301	2393
112	303	2381
113	304	2368
114	306	2355
115	307	2341
116	308	2326
117	309	2314
118	310	2301
119	312	2293
120	314	2282
121	315	2268
122	316	2257
123	317	2246
124	319	2234
125	320	2223
126	321	2210
127	322	2199
128	324	2188
129	325	2177
130	326	2167
131	328	2160
132	329	2150
133	331	2141
134	333	2134
135	334	2124
136	335	2114
137	337	2105
138	338	2095
139	339	2085
140	340	2075
141	341	2065
142	343	2058
143	344	2050
144	346	2042
145	347	2033
146	348	2024
147	350	2015
148	351	2007
149	352	1998
150	353	1990
151	355	1981
152	356	1975
153	358	1970
154	360	1963
155	361	1955
156	362	1947
